NAME,ISIN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BOMBARDIER 'B',CA0977518616,15577038.0,15935891.0,16420963.0,15438279.0,14182799.0,18389492.0,17228115.0,20438205.0,19970359.0,19779770.0,16764440.0,16992243.0,17700131.0,16636587.0,16594073.0,16950350.0,16105455.0,15718960.0,6770572.0,6010655.0,6774838.0,8062867.0,8161550.0
BROOKFIELD A (NYS),CA11271J1075,,,,,,,,,,,,,,,,,,,,,,,
CAE,CA1247651088,768488.0,826654.0,824743.0,949073.0,1011695.0,1397423.0,1261189.0,1480026.0,1579229.0,1784272.0,2025422.0,1897236.0,1740144.0,1721164.0,2069362.0,2246798.0,2292343.0,2765321.0,2388631.0,2609754.0,2933209.0,3236499.0,3128134.0
CGI A,CA12532H1047,1473005.0,2116101.0,2748702.0,3223324.0,2942269.0,3730506.0,3065118.0,3525835.0,3992240.0,4172122.0,6279825.0,9224635.0,8259201.0,7412523.0,8205278.0,8866332.0,8896000.0,9199419.0,9452592.0,9617089.0,9942056.0,10740821.0,10195478.0
CI FINANCIAL DEAD - DELIST.15/08/25,CA1254911003,357019.0,460740.0,839815.0,946169.0,1165641.0,1658614.0,1222234.0,1149388.0,1394939.0,1494889.0,1459271.0,1462578.0,1490306.0,1419778.0,1497507.0,1703899.0,1707132.0,1597738.0,1596543.0,2149714.0,1824022.0,1952834.0,2039161.0
CAMECO,CA13321L1085,492579.0,618082.0,845456.0,1147573.0,1547225.0,2314915.0,2311351.0,2183709.0,2149143.0,2389993.0,2323906.0,2206300.0,1904699.0,1957606.0,1868831.0,1740665.0,1596672.0,1404505.0,1402888.0,1162733.0,1404286.0,1923626.0,2151688.0
CANADIAN IMP.BK.COM.,CA1360691010,10993822.0,12627032.0,13681475.0,16760892.0,17927869.0,19837340.0,11003170.0,14154107.0,16216321.0,17316494.0,17050868.0,15656649.0,13480875.0,12249352.0,14975836.0,17349737.0,20063158.0,21749224.0,18516586.0,18648867.0,28578827.0,43261852.0,44258273.0
CANADIAN NATIONAL RY.,CA1363751027,4021809.0,4397860.0,5280032.0,6329483.0,6517689.0,7914691.0,6856872.0,6949238.0,8396581.0,9049161.0,9930406.0,9567148.0,9639751.0,8962958.0,9251906.0,10524603.0,10931952.0,11246297.0,10769843.0,11412252.0,12860322.0,12509200.0,11696535.0
CANADIAN NATURAL RES.,CA1363851017,2292563.0,3811878.0,5270355.0,7641715.0,8783169.0,11176982.0,11443749.0,9566875.0,13055839.0,13824327.0,14604304.0,14606299.0,14985547.0,8786698.0,8088212.0,13438016.0,16050984.0,17243015.0,13165566.0,23694002.0,31797854.0,26737041.0,24466248.0
CANADIAN PACIFIC KANSAS CITY,CA13646K1084,2285322.0,2600523.0,3006747.0,3729762.0,3739731.0,4565404.0,3892298.0,3938436.0,4911550.0,5063842.0,5555822.0,5548494.0,5259202.0,4770389.0,4790054.0,5289337.0,5584677.0,5874582.0,6008791.0,6302477.0,6625994.0,9332839.0,9981098.0
CANADIAN TIRE 'A',CA1366812024,3912871.0,4897740.0,5768362.0,6796851.0,6984892.0,8640713.0,7373684.0,8193912.0,9088588.0,10411447.0,11439187.0,10662372.0,9901043.0,8727423.0,9746899.0,10842496.0,10731725.0,10957845.0,11589719.0,12843100.0,13389259.0,12381715.0,11224310.0
CANADIAN UTILITIES 'A',CA1367178326,1958838.0,2797320.0,2491243.0,2199408.0,2052954.0,2410287.0,2246470.0,2437468.0,2689092.0,3006029.0,3142293.0,3058773.0,2859989.0,2319808.0,2612547.0,3249948.0,3341188.0,2944076.0,2519640.0,2770883.0,3043116.0,2821781.0,2567666.0
ELDORADO GOLD,CA2849025093,35147.0,38148.0,34560.0,31332.0,74135.0,190833.0,238634.0,382703.0,829119.0,1086022.0,1147297.0,1052237.0,939881.0,790350.0,439482.0,409081.0,455325.0,616331.0,1071565.0,929418.0,854557.0,1010615.0,1245737.0
EMPIRE 'A',CA2918434077,6894736.0,8245839.0,9625333.0,11352855.0,11121377.0,13888643.0,12016018.0,14515766.0,15862627.0,16255312.0,17395829.0,17472281.0,19148102.0,17132817.0,18775827.0,19359265.0,18936986.0,19448396.0,22102922.0,23051220.0,23153015.0,22839177.0,21306687.0
ENBRIDGE,CA29250N1050,2993318.0,3628982.0,5273984.0,7390022.0,8991387.0,11946101.0,13040587.0,11759087.0,15308555.0,19447477.0,25212420.0,29780746.0,29903567.0,24018253.0,26563584.0,35814802.0,35402699.0,37476850.0,30298805.0,36895700.0,40177699.0,31879580.0,36644477.0
ENERPLUS DEAD - DELIST.04/06/24,CA2927661025,322280.0,522912.0,705987.0,1095933.0,1099934.0,1256814.0,1537534.0,992019.0,1116927.0,1121118.0,1097861.0,1223574.0,1212472.0,628560.0,555508.0,743036.0,986811.0,946029.0,574541.0,1464461.0,2306340.0,1666502.0,1491572.0
ENSIGN EN.SVS.,CA2935701078,429016.0,687453.0,854331.0,1329475.0,1526563.0,1581135.0,1378795.0,1073066.0,1371954.0,1894803.0,2199626.0,1898060.0,1844506.0,988603.0,660786.0,807564.0,882706.0,1200435.0,730109.0,784829.0,1185769.0,1331921.0,1155677.0
FAIRFAX FINL.HDG.,CA3039011026,5234539.0,5915024.0,5996702.0,6205329.0,6429937.0,7964969.0,7751478.0,7422340.0,6354192.0,7385397.0,8006100.0,5474852.0,8723944.0,7665446.0,10902689.0,15246013.0,16552035.0,20187446.0,19763243.0,23208535.0,27588867.0,32645394.0,35832923.0
FINNING INTL.,CA3180714048,2111276.0,2685726.0,3355987.0,4226572.0,4263469.0,5674928.0,4843484.0,4468888.0,4697007.0,5908727.0,6629076.0,6112113.0,5495858.0,4399390.0,4325806.0,5056103.0,5340405.0,5893430.0,4828855.0,5749877.0,6975561.0,7825312.0,7689274.0
FIRST QUANTUM MRLS.,CA3359341052,48918.0,62936.0,118342.0,469357.0,1045063.0,1638184.0,1495441.0,2031554.0,2492255.0,2553146.0,2949774.0,3326083.0,3117392.0,2470037.0,2714729.0,3459468.0,3934112.0,4057181.0,5426268.0,7123885.0,7473588.0,6469534.0,4522996.0
FORTIS,CA3495531079,470943.0,630141.0,923511.0,1250165.0,1234947.0,2724089.0,3155196.0,3430756.0,3707976.0,3755783.0,3657833.0,3661300.0,4290778.0,4781049.0,5255839.0,6699235.0,6404516.0,6621722.0,6963496.0,7447880.0,8301662.0,8561235.0,7896499.0
FRANCO-NEVADA,CA3518581051,,,63730.0,74197.0,84574.0,3492.0,129397.0,132363.0,167088.0,406369.0,426909.0,375307.0,389366.0,406119.0,619726.0,705481.0,647948.0,842062.0,1064797.0,1284117.0,1289405.0,1221555.0,1048898.0
GILDAN ACTIVEWEAR,CA3759161035,404551.0,475323.0,594559.0,698919.0,797234.0,1123359.0,876752.0,1285962.0,1485459.0,1677395.0,2067274.0,2067106.0,2049409.0,2183699.0,2610584.0,2875033.0,2885179.0,2817084.0,2061647.0,2885572.0,3188020.0,3202611.0,3080563.0
GREAT WEST LIFECO,CA39138C1068,10947745.0,10037197.0,17635854.0,20868936.0,23078837.0,27142668.0,27430722.0,28859098.0,30338810.0,29955048.0,30083524.0,26750922.0,25160752.0,25465290.0,32676437.0,36596823.0,36367575.0,28499867.0,42786336.0,52445752.0,51575852.0,18273185.0,20992831.0
IGM FINL.,CA4495861060,1276997.0,1400813.0,1708730.0,2052344.0,2200099.0,2901593.0,2186477.0,2253334.0,2654004.0,2659181.0,2507813.0,2348764.0,2248925.0,2073182.0,2260177.0,2468198.0,2365708.0,2357810.0,2455512.0,2828112.0,2597593.0,2368607.0,2396002.0
IMPERIAL OIL,CA4530384086,11117570.0,14271371.0,18068868.0,24301195.0,20699323.0,25125159.0,25254502.0,20084589.0,25245404.0,30545429.0,31085574.0,29603425.0,28783405.0,19016168.0,19253218.0,23505027.0,26689809.0,25634952.0,17367044.0,29567642.0,44664190.0,37689653.0,35241250.0
INTACT FINANCIAL,CA45823T1066,1715793.0,2292212.0,3044596.0,3880926.0,3722400.0,4480214.0,3551394.0,4049650.0,4738093.0,5499861.0,7123465.0,6733644.0,6324548.0,5751190.0,6541744.0,7525644.0,8064041.0,8556293.0,9764481.0,13920630.0,15940274.0,19025462.0,18123248.0
KINROSS GOLD (NYS),CA4969024047,269400.0,592622.0,695107.0,765875.0,864709.0,1163290.0,1389409.0,2575180.0,3154460.0,3896970.0,4310485.0,3538217.0,3050766.0,2794309.0,3526202.0,3452152.0,3186769.0,3488857.0,4397584.0,3683835.0,3386047.0,4248588.0,4849646.0
LOBLAW,CA5394811015,15193354.0,18850109.0,21133835.0,24304692.0,24192149.0,29449825.0,24900421.0,28992102.0,31369029.0,31323248.0,31637152.0,29285877.0,33851941.0,32262667.0,35652542.0,37690362.0,35643155.0,36216287.0,41082676.0,41914033.0,42477327.0,44251259.0,41866267.0
MAGNA INTL.,CA5592224011,13388447.0,15900992.0,21529750.0,24080459.0,23088189.0,27743340.0,20367692.0,18541170.0,25257896.0,28410239.0,30830452.0,32611139.0,32248545.0,29418891.0,37013954.0,40704669.0,40498732.0,39335806.0,34074125.0,35799202.0,37083734.0,42886719.0,40347159.0
MANULIFE FINANCIAL,CA56501R1064,10881922.0,12449144.0,21892617.0,28016706.0,28130130.0,34627398.0,25917392.0,36939343.0,37102020.0,56885023.0,42874928.0,15832160.0,42266664.0,23322453.0,39730852.0,45718792.0,28445517.0,58671939.0,60652164.0,47160973.0,11603383.0,23901136.0,24672100.0
METHANEX,CA59151K1084,1041258.0,1444975.0,1792479.0,1750396.0,2013055.0,2412278.0,1988496.0,1279176.0,2060897.0,2577395.0,2672386.0,2830992.0,2836984.0,2037553.0,2029627.0,3198850.0,3900233.0,3275587.0,2765803.0,4360623.0,4225025.0,3731281.0,3503701.0
METRO,CA59162N1096,3441905.0,4190748.0,4915961.0,6796239.0,9236687.0,10660227.0,8746028.0,10603082.0,11465781.0,11512521.0,11759323.0,10312979.0,9318479.0,8773833.0,9836520.0,10746378.0,11640571.0,12680714.0,14219949.0,14442802.0,14466227.0,15631223.0,14658614.0
NATIONAL BANK OF CANADA,CA6330671034,2790253.0,3469556.0,3964862.0,4849398.0,5748169.0,6391286.0,5197221.0,5023034.0,5560951.0,6435048.0,7112453.0,6562657.0,5972610.0,5342523.0,6019849.0,7528872.0,8436557.0,9056899.0,8537004.0,8936195.0,12202534.0,18338601.0,19843488.0
NUTRIEN,CA67077M1086,,,,,,,,,,,,,,,,18989450.0,19478117.0,19974661.0,21821968.0,27373420.0,37126855.0,29116912.0,24462985.0
OBSIDIAN ENERGY,CA6744822033,525321.0,824181.0,987956.0,1367308.0,1459300.0,2012498.0,3273223.0,2229944.0,2539113.0,3013046.0,2642769.0,2098892.0,1635755.0,752658.0,450413.0,328465.0,311447.0,291769.0,218997.0,358599.0,585319.0,490987.0,507632.0
ONEX,CA68272K1030,14910971.0,12786981.0,13098478.0,14476508.0,15728275.0,23485494.0,21730674.0,23422902.0,24658443.0,24352480.0,27437173.0,26033678.0,17420252.0,18018087.0,22874613.0,25603201.0,23593758.0,305261.0,305808.0,331895.0,305764.0,326683.0,248661.0
OPEN TEXT (NAS),CA6837151068,164537.0,214376.0,405047.0,439051.0,415296.0,776563.0,628247.0,960258.0,954539.0,1146626.0,1275662.0,1285094.0,1630132.0,1671364.0,1989784.0,2749011.0,2819019.0,2927493.0,3442084.0,3393036.0,3464597.0,5704458.0,5097497.0
PAN AMERICAN SILVER,CA6979001089,,,,,,,,,,,,,,,,,,,,,,,
POWER CORP.CANADA,CA7392391016,12517633.0,11769733.0,19613043.0,23266097.0,25597726.0,29473879.0,29990933.0,31272041.0,33290820.0,28825407.0,32955534.0,26816965.0,33866241.0,27195906.0,39007578.0,41200177.0,36715663.0,36822443.0,50358504.0,54835096.0,36606850.0,21710465.0,24600052.0
PRECISION DRILLING,CA74022D4075,1111856.0,1433515.0,1874956.0,1109565.0,1214324.0,1011462.0,890772.0,1129542.0,1446812.0,1955600.0,2042882.0,1836510.0,1867365.0,1105621.0,731276.0,1066280.0,1176468.0,1162039.0,729279.0,777934.0,1215738.0,1440516.0,1305329.0
RB GLOBAL (NYS),CA74935Q1072,,,,,,,,,,,,,,,,,,,,,,,
RIOCAN REIT.TST.,CA7669101031,303045.0,389296.0,453459.0,508611.0,520227.0,680190.0,589648.0,715500.0,876394.0,1005351.0,1129183.0,1029543.0,969218.0,771212.0,886550.0,971400.0,876852.0,999077.0,897033.0,928466.0,913609.0,841629.0,857528.0
ROGERS COMMS.'B',CA7751092007,2845575.0,3623050.0,4522256.0,6541184.0,7465440.0,10145677.0,9163245.0,11065767.0,12332257.0,12457130.0,12499098.0,11495053.0,10208572.0,9533670.0,10531662.0,11413961.0,11523549.0,11363909.0,10845440.0,11552570.0,11574064.0,14352724.0,14137945.0
ROYAL BANK OF CANADA,CA7800871021,15177556.0,18667736.0,20993528.0,26762175.0,32137377.0,38763643.0,32387039.0,35141427.0,36838900.0,37343325.0,38478321.0,35320192.0,34283323.0,30340155.0,35734016.0,42451088.0,46049921.0,51645359.0,45545236.0,45509480.0,60129353.0,89077876.0,93892725.0
SAPUTO,CA8029121057,2254219.0,2564719.0,3154554.0,3469990.0,3346822.0,4812214.0,4526293.0,5552929.0,5994069.0,6723846.0,6955141.0,7961632.0,8444717.0,7655482.0,8590704.0,9295401.0,9931046.0,10902733.0,11358720.0,11442996.0,13029467.0,12834047.0,12936453.0
SHAW COMMS.'B' DEAD - DELIST.05/04/23,CA82028K2002,1285682.0,1558553.0,1689265.0,1977360.0,2146580.0,2853645.0,2569507.0,3282073.0,3937246.0,4952579.0,5043285.0,4690843.0,4185117.0,3921783.0,3603301.0,3966599.0,4044998.0,4047069.0,4203816.0,4355370.0,4083549.0,4037912.0,3727301.0
SHERRITT INTL.RESTRCTD VTG,CA8239011031,530798.0,613488.0,875705.0,957815.0,941331.0,1343403.0,1302822.0,1393715.0,1792357.0,1982937.0,1842130.0,405756.0,361947.0,238733.0,201610.0,215722.0,116716.0,103740.0,93366.0,86871.0,134414.0,165991.0,108965.0
STANTEC,CA85472N1096,282024.0,343773.0,420015.0,540297.0,689386.0,956758.0,1092921.0,1433678.0,1531222.0,1687349.0,1884875.0,2023269.0,2009872.0,2044931.0,3305176.0,4148264.0,3270044.0,3639421.0,3686405.0,3607902.0,4267880.0,4816652.0,5146311.0
SUN LIFE FINL.,CA8667961053,15428343.0,16605585.0,17553605.0,19054018.0,20365667.0,22480247.0,17863275.0,21591027.0,22049501.0,17370620.0,15412150.0,12551737.0,20467987.0,13698521.0,21961843.0,23673699.0,20608191.0,24548547.0,28428364.0,29540052.0,30882965.0,20856349.0,20841186.0
SUNCOR ENERGY,CA8672241079,3002863.0,4418788.0,6584719.0,8768608.0,12537007.0,17373833.0,23840605.0,23616277.0,34286631.0,39429203.0,38248080.0,36180557.0,31668022.0,20758866.0,20604456.0,25866425.0,29421080.0,28908494.0,19220339.0,30847845.0,43854547.0,36492849.0,34781513.0
SUNOPTA (NAS),CA8676EP1086,,,,,,,,,,,,,,,,,,,,,,,
